observation_date,ATNHPIUS08013A
1975-01-01,16.28
1976-01-01,18.05
1977-01-01,21.47
1978-01-01,25.33
1979-01-01,29.50
1980-01-01,31.84
1981-01-01,33.84
1982-01-01,38.85
1983-01-01,38.31
1984-01-01,39.62
1985-01-01,40.42
1986-01-01,41.60
1987-01-01,41.95
1988-01-01,42.26
1989-01-01,43.23
1990-01-01,44.63
1991-01-01,46.78
1992-01-01,50.84
1993-01-01,57.18
1994-01-01,63.97
1995-01-01,69.13
1996-01-01,71.40
1997-01-01,74.85
1998-01-01,78.61
1999-01-01,85.28
2000-01-01,100.00
2001-01-01,110.34
2002-01-01,114.72
2003-01-01,114.81
2004-01-01,117.02
2005-01-01,123.00
2006-01-01,125.81
2007-01-01,127.17
2008-01-01,128.86
2009-01-01,127.53
2010-01-01,125.17
2011-01-01,122.62
2012-01-01,123.97
2013-01-01,129.57
2014-01-01,141.66
2015-01-01,155.46
2016-01-01,175.13
2017-01-01,189.70
2018-01-01,203.83
2019-01-01,211.09
2020-01-01,213.32
2021-01-01,235.88
2022-01-01,277.20
2023-01-01,282.12
2024-01-01,289.76
